date,real,nominal
1952-07-01,353.01,34.690
1952-08-01,353.01,34.690
1952-09-01,353.01,34.690
1952-10-01,353.01,34.690
1952-11-01,353.01,34.690
1952-12-01,353.01,34.690
1953-01-01,357.49,35.000
1953-02-01,358.86,35.000
1953-03-01,357.49,35.000
1953-04-01,357.49,35.000
1953-05-01,356.16,35.000
1953-06-01,354.83,35.000
1953-07-01,354.83,35.000
1953-08-01,353.50,35.000
1953-09-01,353.50,35.000
1953-10-01,352.21,35.000
1953-11-01,353.50,35.000
1953-12-01,353.50,35.000
1954-01-01,356.63,35.310
1954-02-01,356.63,35.310
1954-03-01,356.63,35.310
1954-04-01,357.97,35.310
1954-05-01,356.63,35.310
1954-06-01,356.63,35.310
1954-07-01,356.63,35.310
1954-08-01,356.63,35.310
1954-09-01,357.97,35.310
1954-10-01,357.97,35.310
1954-11-01,357.97,35.310
1954-12-01,359.31,35.310
1955-01-01,359.31,35.310
1955-02-01,359.31,35.310
1955-03-01,359.31,35.310
1955-04-01,359.31,35.310
1955-05-01,359.31,35.310
1955-06-01,359.31,35.310
1955-07-01,357.97,35.310
1955-08-01,357.97,35.310
1955-09-01,356.63,35.310
1955-10-01,356.63,35.310
1955-11-01,356.63,35.310
1955-12-01,357.97,35.310
1956-01-01,357.97,35.310
1956-02-01,357.97,35.310
1956-03-01,357.97,35.310
1956-04-01,356.63,35.310
1956-05-01,355.32,35.310
1956-06-01,352.71,35.310
1956-07-01,350.13,35.310
1956-08-01,351.41,35.310
1956-09-01,350.13,35.310
1956-10-01,348.86,35.310
1956-11-01,348.86,35.310
1956-12-01,347.59,35.310
1957-01-01,344.54,35.000
1957-02-01,343.32,35.000
1957-03-01,342.06,35.000
1957-04-01,340.83,35.000
1957-05-01,339.61,35.000
1957-06-01,338.42,35.000
1957-07-01,336.04,35.000
1957-08-01,336.04,35.000
1957-09-01,336.04,35.000
1957-10-01,336.04,35.000
1957-11-01,334.85,35.000
1957-12-01,334.85,35.000
1958-01-01,335.45,35.310
1958-02-01,335.45,35.310
1958-03-01,333.11,35.310
1958-04-01,331.95,35.310
1958-05-01,331.95,35.310
1958-06-01,331.95,35.310
1958-07-01,330.82,35.310
1958-08-01,331.95,35.310
1958-09-01,331.95,35.310
1958-10-01,331.95,35.310
1958-11-01,330.82,35.310
1958-12-01,331.95,35.310
1959-01-01,330.82,35.310
1959-02-01,331.95,35.310
1959-03-01,331.95,35.310
1959-04-01,330.82,35.310
1959-05-01,330.82,35.310
1959-06-01,329.69,35.310
1959-07-01,328.56,35.310
1959-08-01,328.56,35.310
1959-09-01,327.43,35.310
1959-10-01,326.30,35.310
1959-11-01,326.30,35.310
1959-12-01,326.30,35.310
1960-01-01,327.43,35.310
1960-02-01,326.30,35.310
1960-03-01,326.30,35.310
1960-04-01,325.21,35.310
1960-05-01,325.21,35.310
1960-06-01,324.11,35.310
1960-07-01,324.11,35.310
1960-08-01,324.11,35.310
1960-09-01,324.11,35.310
1960-10-01,321.92,35.310
1960-11-01,321.92,35.310
1960-12-01,321.92,35.310
1961-01-01,321.92,35.310
1961-02-01,321.92,35.310
1961-03-01,321.92,35.310
1961-04-01,321.92,35.310
1961-05-01,321.92,35.310
1961-06-01,321.92,35.310
1961-07-01,319.80,35.310
1961-08-01,320.86,35.310
1961-09-01,319.80,35.310
1961-10-01,319.80,35.310
1961-11-01,319.80,35.310
1961-12-01,319.80,35.310
1962-01-01,319.80,35.310
1962-02-01,318.71,35.310
1962-03-01,318.71,35.310
1962-04-01,317.68,35.310
1962-05-01,317.68,35.310
1962-06-01,317.68,35.310
1962-07-01,316.62,35.310
1962-08-01,316.62,35.310
1962-09-01,315.57,35.310
1962-10-01,315.57,35.310
1962-11-01,315.57,35.310
1962-12-01,315.57,35.310
1963-01-01,315.57,35.310
1963-02-01,315.57,35.310
1963-03-01,314.54,35.310
1963-04-01,314.54,35.310
1963-05-01,314.54,35.310
1963-06-01,313.52,35.310
1963-07-01,312.49,35.310
1963-08-01,312.49,35.310
1963-09-01,312.49,35.310
1963-10-01,311.47,35.310
1963-11-01,311.47,35.310
1963-12-01,310.48,35.310
1964-01-01,310.48,35.310
1964-02-01,310.48,35.310
1964-03-01,310.48,35.310
1964-04-01,310.48,35.310
1964-05-01,310.48,35.310
1964-06-01,309.46,35.310
1964-07-01,308.47,35.310
1964-08-01,309.46,35.310
1964-09-01,308.47,35.310
1964-10-01,308.47,35.310
1964-11-01,307.48,35.310
1964-12-01,307.48,35.310
1965-01-01,307.48,35.310
1965-02-01,307.48,35.310
1965-03-01,306.49,35.310
1965-04-01,305.54,35.310
1965-05-01,305.54,35.310
1965-06-01,303.60,35.310
1965-07-01,303.60,35.310
1965-08-01,303.60,35.310
1965-09-01,303.60,35.310
1965-10-01,302.64,35.310
1965-11-01,302.64,35.310
1965-12-01,301.69,35.310
1966-01-01,301.69,35.310
1966-02-01,299.82,35.310
1966-03-01,298.86,35.310
1966-04-01,297.03,35.310
1966-05-01,297.03,35.310
1966-06-01,296.11,35.310
1966-07-01,295.19,35.310
1966-08-01,293.39,35.310
1966-09-01,293.39,35.310
1966-10-01,291.59,35.310
1966-11-01,291.59,35.310
1966-12-01,291.59,35.310
1967-01-01,291.59,35.310
1967-02-01,291.59,35.310
1967-03-01,290.71,35.310
1967-04-01,289.82,35.310
1967-05-01,288.98,35.310
1967-06-01,288.09,35.310
1967-07-01,287.25,35.310
1967-08-01,286.36,35.310
1967-09-01,285.52,35.310
1967-10-01,284.67,35.310
1967-11-01,283.82,35.310
1967-12-01,283.01,35.310
1968-01-01,321.19,40.310
1968-02-01,320.22,40.310
1968-03-01,319.30,40.310
1968-04-01,318.37,40.310
